F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,filename
35.759796,0.17117234,34.97824,36.110077,37.511234,2.5329933,558.57294,775.7419,160.03606,218.23737,14.63842,9.393033,11.844739,7.205276,7.335549,0.865209,11.7066,1.3195951,26.872957,0.57294357,-64.94801,-1.245616,-66.49792,-1.0684545,-72.914,-0.91730404,-15.713058,-0.77913,29.004936,0.4860848,-4.253191,12.17907,chaity-Bangla.wav
36.92225,0.1537182,35.811386,36.770107,38.27783,2.466442,407.11487,558.8837,153.76059,245.43398,8.86459,5.083472,5.7321367,3.4043472,8.38929,0.7207417,12.895695,1.1579127,25.781393,0.60064936,-79.62969,-1.0647181,-78.025276,-0.97313154,-81.357124,-0.90282553,-16.08943,-0.82794076,27.755156,0.56527257,-1.3273435,8.704843,chaity-English .wav
22.689568,0.13392164,21.063786,23.316963,24.95848,3.8946953,191.82678,184.4255,82.14659,125.655426,11.247468,5.532601,10.516202,5.532349,1.4689211,2.8178961,6.885688,1.0333835,21.762587,0.4259972,-58.760685,-1.3443216,-62.10957,-1.2194335,-66.29592,-1.1065145,-11.527318,-0.35275617,20.706432,0.2677391,-6.80381,14.904617,emon-bangla.wav
23.151958,0.14421351,21.42746,23.715473,25.294601,3.8671417,212.75948,344.6419,97.612206,130.20682,9.890195,5.0574956,8.0279455,4.3514752,1.9848258,2.1520772,7.2741866,1.1298143,20.336405,0.45517278,-63.340427,-1.2929044,-67.90056,-1.1487329,-69.46914,-1.1113358,-11.16023,-0.41385794,18.963266,0.33760265,-7.2376366,15.414813,emon-english.wav
25.46566,0.25886327,15.39904,28.681671,30.482641,15.083601,231.47838,351.0488,110.69764,114.675,14.007662,6.7979126,12.178442,6.75069,2.9193623,1.854957,0.5980476,23.164814,23.360903,0.64947957,-28.39024,-2.1731274,-39.679333,-1.4030752,-43.179283,-1.246568,-15.519678,-0.37512106,23.092186,0.32197702,-6.557678,11.5869465,hridoy-bangla.wav
26.603926,0.23950985,18.971004,29.211731,30.97673,12.005726,260.30286,334.0198,96.20507,95.017204,14.397827,7.3397393,11.894358,6.2920685,4.2701006,1.2851511,4.800266,1.9114546,27.95766,0.32417235,-40.82198,-1.7504468,-53.00984,-1.2059411,-56.207443,-1.1057061,-17.126968,-0.36626226,24.51988,0.28817466,-6.22742,11.504699,hridoy-English.wav
33.259995,0.1487457,31.768875,34.057343,36.220566,4.4516907,330.5883,487.51184,173.94356,322.80035,19.505228,9.456963,14.420782,7.7889347,7.191412,0.73081875,9.388165,1.1566355,31.541069,0.36505106,-53.810875,-1.4073265,-62.64325,-1.0602823,-68.89875,-0.9125444,-20.384382,-0.48068774,31.963543,0.33639374,-4.7819448,11.636757,mehrin-bangla.wav
33.3879,0.14659427,31.779776,34.30517,36.62494,4.8451633,318.2542,460.22745,72.73951,83.37922,14.665467,9.27131,9.4659195,5.927812,7.950548,0.7032294,7.5566072,1.323725,31.254433,0.3688556,-57.002853,-1.3328208,-67.597916,-0.989573,-71.52191,-0.9027298,-22.988989,-0.39509302,31.674126,0.3250858,-6.2484884,11.8065,mehrin-english.wav
26.200796,0.22776523,21.974659,27.496468,29.471989,7.4973297,420.1425,523.57574,142.70361,180.29906,21.91791,14.300568,18.70841,14.2587385,2.376192,2.062503,1.789715,7.690802,23.96951,0.54109085,-57.47183,-1.386872,-66.68447,-1.0822642,-71.15684,-0.9738474,-16.290327,-0.4951717,26.204157,0.37076804,-4.8660426,12.723417,sorol-bangla.wav
27.257072,0.24803278,23.212267,28.117193,30.436634,7.224367,279.1462,391.69022,160.71571,204.39146,24.900894,17.407093,19.591612,15.103071,3.0002437,1.7333053,0.79177547,18.822613,20.617268,0.7654251,-71.19615,-1.2300404,-79.329575,-1.0083892,-81.59753,-0.9607177,-14.487283,-0.6506762,23.19226,0.476806,-4.070069,10.58172,sorol-english.wav
